,tweet_id,tweet_text,verified,followers_count,friends_count,user_created_at,retweet_count
24,1344347211086274560,"Or, here's another idea, CLOSE THE BORDERS.

We're in the middle of a pandemic. Open borders show how unserious the Trudeau government is about fighting #COVID19.

https://t.co/SVaoaouqsz",False,76,630,2020-12-30 18:18:46,53
25,1344347203968643072,"Dec 29: #CovidVaccine in Ontario🇨🇦
Cumulative vaccinations: 18001🙏🏻
Days to 💉80% adult Ontarians: 
8906 days (May 17, 2045)*

Data source: #COVID19 Canada Open Data Working Group https://t.co/8uubSrKQjG &amp; https://t.co/75cKPUUcsz
https://t.co/GCCoGTUGvZ https://t.co/au0pjhQmxJ",False,275,674,2020-12-30 18:18:44,19
26,1344347105062572032,"Meanwhile in 🇨🇦 @meganranney 😳“Retired Gen. Rick Hillier, has asked Health Canada to look into the possibility of allowing Moderna’s two-dose vaccine to be administered as a single shot, which he suggested could help protect more people quickly” #cdnpoli #MedTwitter #COVID19 https://t.co/lmIdWwZ9kN",False,124,241,2020-12-30 18:18:21,3
27,1344346952738082816,#NEWS: All passengers on flights entering Canada will require a negative PCR test three days before their arrival. https://t.co/WlxJ17M9MI #COVID19 #travel,False,2249,854,2020-12-30 18:17:44,0
28,1344346944286707712,"@CurlingCanada @TeamKevinKoe @TeamMcCarville @CurlingNL @TeamJohnEpping @TeamHoman @Gauthiercurling @EinarsonTeam @TeamJGunns Hey @CurlingCanada! Would you support every curling 🥌 club in Canada to be set up as a #VaccinationCenter for #Covid19?
Many clubs are closed. It could also be an opportunity for clubs to get a little rent paid for their lounges.
@HuntleyCurling",False,181,677,2020-12-30 18:17:42,0
29,1344346890926583808,"#NowIsNotTheTime to cross the border to visit your partner. Stay home, connect virtually, and follow @GovCanHealth guidelines to help limit the spread of #COVID19. For more information ➡️ https://t.co/XPlW5sVhTn https://t.co/fxRHAdhBt5",False,738,995,2020-12-30 18:17:30,33
30,1344346857347145729,BRIEF-Canada To Require That All Arriving Airline Passengers Must Provide Proof Of A Negative Covid-19 Test Before Entering The Country -CBC News https://t.co/qyfmF7E1YT,False,77,56,2020-12-30 18:17:22,0
31,1344346803165147136,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,2388,308,2020-12-30 18:17:09,39
32,1344346030817628160,"Hey ⁦@BillBlair⁩ why does this only apply to air travellers? And why isn’t it happening before they even get on a plane? And aren’t our borders supposed to be closed?

Canada to require all arriving air passengers to show negative #COVID19 test  https://t.co/aQBIyBsNmA",False,325,1248,2020-12-30 18:14:05,0
33,1344345994587201536,"How is it possible in Canada, one of the wealthiest nations of the world, that families have to protest to make sure their loved ones in #LTC get enough food &amp; water? That seniors have to bang on the wall to try &amp; get help?

This is a humanitarian disaster.

#COVID19",False,197,2055,2020-12-30 18:13:56,514
34,1344345993236672514,Our actions matter. Avoiding close contact with others in confined spaces can help #stopthespread of #COVID19. ❄️Learn more on how you can do your part this holiday season: https://t.co/o0PjjDqN5i https://t.co/IVrYiFuOM3,False,747,1816,2020-12-30 18:13:56,4
35,1344345981349896192,Canada: Authorities to require all arriving air passengers to show negative #COVID19 test,False,1401,8,2020-12-30 18:13:53,0
36,1344345947787186178,"“The pressure of having enough staff to vaccinate will grow"" -- Canada’s🇨🇦strained health system faces struggle to inoculate millions against #coronavirus, @byJamesKeller @StefanieMarotta https://t.co/su0OAnpXTy via @globeandmail #COVID19 #vaccination #cdnhealth",False,1310,697,2020-12-30 18:13:45,20
37,1344345847316680705,A negative PCR rest will be required three days before arrival #COVID19 #COVID #Canada #COVID #cdnpoli,False,1220,442,2020-12-30 18:13:21,1
38,1344345840807104513,Intergovernmental Affairs Minister Dominic LeBlanc says Canada will require air travelers to test NEGATIVE for COVID-19 before they enter Canada #COVID19 #COVID #Canada #COVID #cdnpoli,False,1220,442,2020-12-30 18:13:19,1
39,1344345809433882627,"While #COVID19 is taking off in many parts of Canada, influenza is not.

""influenza activity remain exceptionally low for this time of year...no evidence of community circulation of influenza.""

Below - Flu activity maps from Week 50, 2019 vs 2020.

Link: https://t.co/rQDwakxM3m https://t.co/BxM3Kf3AuR",False,587,2150,2020-12-30 18:13:12,27
40,1344345559436562433,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,419,701,2020-12-30 18:12:12,39
41,1344345559201562624,"Apply for the Disability Tax Credit by December 31, 2020 to be considered for the one-time payment to persons with disabilities. 

Also, keep your address and direct deposit information up-to-date and accurate.  

https://t.co/5djCIx4FPB https://t.co/P4c41UkT84",False,111,86,2020-12-30 18:12:12,5
42,1344345494550671362,"#COVID19 didn’t take a holiday, and the vaccine rollout should not have been allowed to either, by ⁦@picardonhealth⁩ via @globeandmail #vaccination  https://t.co/o0B47Rjmhc",False,520,4983,2020-12-30 18:11:57,169
43,1344345214232760320,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,40,989,2020-12-30 18:10:50,39
44,1344345050826887168,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,1593,1529,2020-12-30 18:10:11,39
45,1344345040919916547,"As the #COVID19 pandemic persists across Canada, it’s important to protect yourself and protect others. Wash your hands frequently and help reduce the spread. https://t.co/z8lSNA8DuN https://t.co/v5m9ZFYGyP",True,6537,106,2020-12-30 18:10:09,0
46,1344344997185740800,NEW: Feds will require negative PCR COVID-19 test results within three days of flight for incoming international travellers coming to Canada. #COVID19 Listen for more @NEWS1130,False,679,446,2020-12-30 18:09:58,6
47,1344344935252844546,"#COVID19 didn’t take a holiday, and the vaccine rollout should not have been allowed to either, by ⁦@picardonhealth⁩ via @globeandmail #vaccination  https://t.co/o0B47Rjmhc",False,978,1620,2020-12-30 18:09:43,169
48,1344344848514441216,"#NowIsNotTheTime to cross the border to visit your partner. Stay home, connect virtually, and follow @GovCanHealth guidelines to help limit the spread of #COVID19. For more information ➡️ https://t.co/XPlW5sVhTn https://t.co/fxRHAdhBt5",False,1935,3160,2020-12-30 18:09:23,33
49,1344344815417372673,#Breaking: Canada to require all arriving air passengers to show negative #COVID19 test | https://t.co/8NkIvJ87A0 | https://t.co/8NkIvJ87A0 https://t.co/kCBrIQT0F8,False,2258,980,2020-12-30 18:09:15,0
50,1344344748937670656,"1. Updated thread on children &amp; #COVID19, summarising recent research.

Summary: further evidence children and adults are equally susceptible, and similarly likely to transmit. Schools have been a driver of the second wave in Europe, Canada, and elsewhere.
#edutwitter #auspol",False,1006,582,2020-12-30 18:08:59,2679
51,1344344747926839298,"How is it possible in Canada, one of the wealthiest nations of the world, that families have to protest to make sure their loved ones in #LTC get enough food &amp; water? That seniors have to bang on the wall to try &amp; get help?

This is a humanitarian disaster.

#COVID19",False,234,861,2020-12-30 18:08:59,514
52,1344344735100661763,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,3579,1427,2020-12-30 18:08:56,39
53,1344344694277324801,"In both USA and UK, one of every 1000 citizens has died of #COVID19.

That's 0.1% who not just caught it - but DIED.

In Canada, our number is just under half that, around 0.04%.

Nothing to be proud of. Compared to Australia, with deaths of 0.0036%.
We could have chosen that.",False,1812,1745,2020-12-30 18:08:46,0
54,1344344656197214208,Minister Dominic LeBlanc joins Government of Canada officials to hold a news conference on #COVID19 ⬇️ https://t.co/urixAzt2TD,False,3535,1314,2020-12-30 18:08:37,2
55,1344344648257478656,A negative PCR rest will be required three days before arrival #COVID19 #COVID #Canada #COVID #cdnpoli,False,2249,4634,2020-12-30 18:08:35,1
56,1344344646755913728,Intergovernmental Affairs Minister Dominic LeBlanc says Canada will require air travelers to test NEGATIVE for COVID-19 before they enter Canada #COVID19 #COVID #Canada #COVID #cdnpoli,False,2249,4634,2020-12-30 18:08:35,1
57,1344344625541214210,"@NIH awards 8 research grants to find ways to identify kids at risk for Multisystem Inflammatory Syndrome in Children (MIS-C), a rare but severe after-effect of exposure to #COVID19 virus. Study will examine kids in 30 states, #Canada, #UK &amp; #LatinAmerica. https://t.co/qshPfRZMUA",True,2628,709,2020-12-30 18:08:30,0
58,1344344608285679616,"1/

55000 Canadians died of the Spanish Flu(H1N1) during the Pandemic of 1918-1920.  The Population of Canada was 7.6 Million Approx.  0.007% of the population

Thus far 15500 Canadians have died With #COVID19, not necessarily from COVID19. 0.0004% of the population today",False,325,428,2020-12-30 18:08:25,0
59,1344344571480846336,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,4488,1338,2020-12-30 18:08:17,39
60,1344344570381778944,"Albertans, including me, like to be the best in Canada at things. 
Right now, we have the worst Premier on #covid19 and the second slowest vaccine rollout.
What has @jkenney done to our province? Why are we always behind during this public health emergency?",False,74,119,2020-12-30 18:08:16,84
